"experiment","game","treatment","metric","simulation_mean","mc_se","mc_lower","mc_upper","n_seeds","seed_sd","seed_p10","seed_p90","snapshot_mean"
"minimum_signal","linear","MI","gini",0.0899408234307125,0.000822758598285671,0.0881871549902911,0.0916944918711339,16,0.00329103439314268,0.08539076975845,0.09392089714305,0.0892575543756687
"minimum_signal","threshold","FE","group_relative_contribution",0.40364291178375,0.0475284335604397,0.302338453670183,0.504947369897317,16,0.190113734241759,0.08196178385415,0.547741471354,0.402853190104063
"minimum_signal","threshold","FE","surplus",0.175347973632831,0.0493266326435296,0.0702107449007861,0.280485202364876,16,0.197306530574118,-0.107605143229,0.326943424479,0.174816080729125
"minimum_signal","threshold","FE","gini",0.00906404749322687,0.00137229454253199,0.00613907091417292,0.0119890240722808,16,0.00548917817012794,0.002992149002805,0.0142268705632,0.00893933061212313
"minimum_signal","threshold","FE","success",0.6947890625,0.111634006331534,0.456846810435635,0.932731314564365,16,0.446536025326135,0.00999375,1,0.693203125
"minimum_signal","threshold","AI","group_relative_contribution",0.240078352864564,0.0532556800650638,0.126566557791407,0.353590147937721,16,0.213022720260255,0.0197337890625,0.5477314453125,0.239990234374996
"minimum_signal","threshold","AI","surplus",0.0075909179687275,0.0410748262595557,-0.0799580017961491,0.0951398377336041,16,0.164299305038223,-0.156585091146,0.272186263021,0.009619140625025
"minimum_signal","threshold","AI","gini",0.20773494016275,0.0169897485049751,0.171522148432646,0.243947731892854,16,0.0679589940199004,0.0963317080681,0.255720766689,0.2074708418035
"minimum_signal","threshold","AI","success",0.297203125,0.105317883637739,0.0727233697810244,0.521682880218976,16,0.421271534550955,0.00260625,0.98313125,0.29953125
"minimum_signal","threshold","MI","group_relative_contribution",0.290625415039062,0.049980188486034,0.184095165003513,0.397155665074611,16,0.199920753944136,0.0478046223958,0.5081060546875,0.290130208333312
"minimum_signal","threshold","MI","surplus",0.0833531005859625,0.0505145305305965,-0.0243160725576428,0.191022273729568,16,0.202058122122386,-0.1108942708335,0.3238489583335,0.0827213541667144
"minimum_signal","threshold","MI","gini",0.187276358386194,0.0177640948699729,0.149413086448309,0.225139630324078,16,0.0710563794798915,0.09836488921965,0.2544072146975,0.187520479658975
"minimum_signal","threshold","MI","success",0.44877421875,0.114646517328291,0.204410951490603,0.693137486009397,16,0.458586069313165,0,0.99909375,0.447421875
"initial_zero","linear","FE","group_relative_contribution",0.658765657552125,0.0183579447150317,0.619636624631859,0.697894690472391,16,0.0734317788601268,0.5933520833335,0.7479591145835,0.655126139322938
"initial_zero","linear","FE","surplus",1.44928444661438,0.0403874783732842,1.36320057418933,1.53536831903942,16,0.161549913493137,1.305374583335,1.645510052085,1.44127750651062
"initial_zero","linear","FE","gini",0.0385159703015312,0.00235652596277635,0.0334931541090718,0.0435387864939907,16,0.00942610385110542,0.0247544894408,0.047404066008,0.0387943665802375
"initial_zero","linear","AI","group_relative_contribution",0.699756038411375,0.0207599301277745,0.655507294774678,0.744004782048073,16,0.0830397205110978,0.6082873697915,0.7981615234375,0.700809733072937
"initial_zero","linear","AI","surplus",1.76571918294188,0.0517196311318291,1.65548139866942,1.87595696721433,16,0.206878524527316,1.53140924479,2.000258671875,1.76816178385438
"initial_zero","linear","AI","gini",0.0441884917966062,0.00336336085614445,0.0370196578282236,0.0513573257649889,16,0.0134534434245778,0.0278477126934,0.0607625766301,0.044207459168775
"initial_zero","linear","MI","group_relative_contribution",0.558658984374937,0.0111394797864421,0.534915745246353,0.582402223503522,16,0.0445579191457684,0.514658203125,0.611014713542,0.557935384114562
"initial_zero","linear","MI","surplus",1.07203500976519,0.0210251677622762,1.02722092549297,1.11684909403741,16,0.084100671049105,0.988851875,1.170807838545,1.07009700520831
"initial_zero","linear","MI","gini",0.0856303266921375,0.00269487019553905,0.0798863468385132,0.0913743065457618,16,0.0107794807821562,0.07365073280585,0.09595295790835,0.0851821532930188
"initial_zero","threshold","FE","group_relative_contribution",0.00176444498697939,0.00040575797595574,0.000899592333521277,0.00262929764043751,16,0.00162303190382296,0.0008046875,0.00258782552083,0.00177083333333333
"initial_zero","threshold","FE","surplus",-0.00176444498697939,0.00040575797595574,-0.00262929764043751,-0.000899592333521277,16,0.00162303190382296,-0.00258782552083,-0.0008046875,-0.00177083333333333
"initial_zero","threshold","FE","gini",0.0011239222379738,0.000262249417768468,0.000564950835647882,0.00168289364029972,16,0.00104899767107387,0.000486308034263,0.00178316657804,0.00112620641821928
"initial_zero","threshold","FE","success",0,0,0,0,16,0,0,0,0
"initial_zero","threshold","AI","group_relative_contribution",0.00185335286458394,0.000569290538655362,0.000639938804675487,0.00306676692449239,16,0.00227716215462145,0.000475325520833,0.00370494791667,0.001859537760417
"initial_zero","threshold","AI","surplus",-0.00185335286458394,0.000569290538655362,-0.00306676692449239,-0.000639938804675487,16,0.00227716215462145,-0.00370494791667,-0.000475325520833,-0.001859537760417
"initial_zero","threshold","AI","gini",0.250503258615437,0.000157328391023553,0.250167921087887,0.250838596142988,16,0.000629313564094211,0.24989600049,0.2514390607655,0.250484584171375
"initial_zero","threshold","AI","success",0,0,0,0,16,0,0,0,0
"initial_zero","threshold","MI","group_relative_contribution",0.00158898925781231,0.000306538518623588,0.000935617871595498,0.00224236064402913,16,0.00122615407449435,0.000306640625,0.002676692708335,0.00158854166666731
"initial_zero","threshold","MI","surplus",-0.00158898925781231,0.000306538518623588,-0.00224236064402913,-0.000935617871595498,16,0.00122615407449435,-0.002676692708335,-0.000306640625,-0.00158854166666731
"initial_zero","threshold","MI","gini",0.250633919100062,0.000214541201463516,0.250176635353699,0.251091202846426,16,0.000858164805854065,0.250036343785,0.2515242656225,0.250631804535875
"initial_zero","threshold","MI","success",0,0,0,0,16,0,0,0,0
"initial_full","linear","FE","group_relative_contribution",0.719038647461062,0.0252704114630271,0.665176040432085,0.77290125449004,16,0.101081645852109,0.6244694010415,0.8441015625,0.716896158854125
"initial_full","linear","FE","surplus",1.581885024415,0.0555949052186211,1.46338728895133,1.70038275987867,16,0.222379620874484,1.37383268229,1.8570234375,1.57717154947875
"initial_full","linear","FE","gini",0.03170664855721,0.00314340426448326,0.0250066409661665,0.0384066561482535,16,0.0125736170579331,0.013308818890955,0.04450973325575,0.0317477222406213
"initial_full","linear","AI","group_relative_contribution",0.735459545898313,0.0318277153003715,0.66762037658513,0.803298715211495,16,0.127310861201486,0.594414518229,0.9185986979165,0.736853027343875
"initial_full","linear","AI","surplus",1.8471182617175,0.0780413599066155,1.68077704060968,2.01345948282532,16,0.312165439626462,1.50150971354,2.287604322915,1.85184667968875
"initial_full","linear","AI","gini",0.0388478836315262,0.00510857827431426,0.0279592067902826,0.0497365604727699,16,0.020434313097257,0.012782272724,0.06408848325865,0.0384044180659919
"initial_full","linear","MI","group_relative_contribution",0.557356429036437,0.0113246346182524,0.533218541725733,0.581494316347142,16,0.0452985384730097,0.514658203125,0.611014713542,0.555322265625
"initial_full","linear","MI","surplus",1.06962299153644,0.0213803556535246,1.02405184219483,1.11519414087805,16,0.0855214226140983,0.988851875,1.170807838545,1.06553710937519
"initial_full","linear","MI","gini",0.0858794471793437,0.00272978463953104,0.0800610489499392,0.0916978454087482,16,0.0109191385581242,0.07365073280585,0.09595295790835,0.0858263670312625
