"experiment","game","treatment","metric","mean_difference","paired_mc_se","n_seeds","n_matched","join_match_rate","join_row_inflation"
"no_fairness","linear","FE","gini",0.0108879777054438,0.00274697626274892,16,16,1,0
"no_fairness","linear","AI","group_relative_contribution",-0.0572539306639375,0.0213641552861482,16,16,1,0
"no_fairness","linear","AI","surplus",-0.136556142576875,0.0560358919563862,16,16,1,0
"no_fairness","linear","AI","gini",0.0136704612996313,0.00385973045032148,16,16,1,0
"no_fairness","linear","MI","group_relative_contribution",-0.0136447428385625,0.0156853075697732,16,16,1,0
"no_fairness","linear","MI","surplus",-0.0266996647139375,0.0294216606062748,16,16,1,0
"no_fairness","linear","MI","gini",0.0061835136588375,0.00359716085581435,16,16,1,0
"no_fairness","threshold","FE","group_relative_contribution",-0.102206966145813,0.0183313186140702,16,16,1,0
"no_fairness","threshold","FE","surplus",-0.176266341145819,0.0162983391816251,16,16,1,0
"no_fairness","threshold","FE","gini",0.122784657268032,0.00142952615234503,16,16,1,0
"no_fairness","threshold","FE","success",-0.33416796875,0.00823095584205706,16,16,1,0
"no_fairness","threshold","AI","group_relative_contribution",-0.02068311360675,0.0349371577989057,16,16,1,0
"no_fairness","threshold","AI","surplus",-0.131792146809829,0.0448757216265173,16,16,1,0
"no_fairness","threshold","AI","gini",0.0817620430535688,0.0162864422823739,16,16,1,0
"no_fairness","threshold","AI","success",-0.1829703125,0.0921775113576932,16,16,1,0
"no_fairness","threshold","MI","group_relative_contribution",-0.0662332763671875,0.0228830391144921,16,16,1,0
"no_fairness","threshold","MI","surplus",-0.0851931559246062,0.0258631279642797,16,16,1,0
"no_fairness","threshold","MI","gini",0.0992234788379375,0.00978069249203878,16,16,1,0
"no_fairness","threshold","MI","success",-0.18171171875,0.0528071611634407,16,16,1,0
